Aired,Aired
2011-11-30,11/30/2011
2011-11-21,11/21/2011
2014-09-18,9/18/2014
2014-08-30,8/30/2014
2014-06-18,6/18/2014
2014-06-13,6/13/2014
2015-01-10,1/10/2015
2014-07-06,7/6/2014
2014-03-10,3/10/2014
1963-02-05,2/5/1963
2014-02-22,2/22/2014
2012-08-11,8/11/2012
2014-08-01,8/1/2014
2014-08-01,8/1/2014
2014-10-13,10/13/2014
1905-04-07,4/7/1905
1905-06-25,6/25/1905
1977-12-05,12/5/1977
1905-06-22,6/22/1905
1983-07-01,7/1/1983
2015-01-09,1/9/2015
2009-08-24,8/24/2009
1988-08-23,8/23/1988
2028-07-01,7/1/2028
2004-08-14,8/14/2004
2015-04-11,4/11/2015
1964-08-03,8/3/1964
1966-10-20,10/20/1966
1964-08-03,8/3/1964
2014-10-06,10/6/2014
2014-09-19,9/19/2014
2015-01-30,1/30/2015
2015-01-31,1/31/2015
2015-10-03,10/3/2015
1976-09-15,9/15/1976
1970-03-17,3/17/1970
2013-10-02,10/2/2013
2014-08-29,8/29/2014
2014-07-04,7/4/2014
2014-07-02,7/2/2014
2005-11-16,11/16/2005
2014-07-26,7/26/2014
1935-11-20,11/20/1935
2014-08-02,8/2/2014
2014-06-27,6/27/2014
2014-06-06,6/6/2014
2014-06-25,6/25/2014
2012-06-03,6/3/2012
2015-06-13,6/13/2015
1999-04-04,4/4/1999
2014-09-26,9/26/2014
2014-10-07,10/7/2014
2015-03-14,3/14/2015
1990-04-28,4/28/1990
1991-12-01,12/1/1991
1984-03-20,3/20/1984
1990-12-08,12/8/1990
2014-07-03,7/3/2014
2014-07-03,7/3/2014
1905-06-13,6/13/1905
1989-02-09,2/9/1989
2014-09-26,9/26/2014
1981-08-23,8/23/1981
1905-06-10,6/10/1905
1990-01-22,1/22/1990
2000-04-01,4/1/2000
1992-07-03,7/3/1992
2001-02-01,2/1/2001
2001-03-01,3/1/2001
2001-04-14,4/14/2001
2001-05-01,5/1/2001
2014-09-25,9/25/2014
2001-06-01,6/1/2001
2001-06-01,6/1/2001
2001-06-01,6/1/2001
2001-07-01,7/1/2001
2001-07-14,7/14/2001
2000-12-10,12/10/2000
1986-05-25,5/25/1986
1905-05-28,5/28/1905
1905-06-12,6/12/1905
2015-10-07,10/7/2015
1905-06-30,6/30/1905
2012-04-25,4/25/2012
2014-06-30,6/30/2014
2014-06-25,6/25/2014
2014-06-25,6/25/2014
1991-05-04,5/4/1991
2014-12-03,12/3/2014
1905-06-04,6/4/1905
2014-10-08,10/8/2014
2014-10-07,10/7/2014
2014-08-30,8/30/2014
2013-10-30,10/30/2013
1905-05-13,5/13/1905
2015-07-02,7/2/2015
1905-06-21,6/21/1905
2014-07-08,7/8/2014
2014-07-11,7/11/2014
2013-04-01,4/1/2013
2013-04-01,4/1/2013
2011-05-17,5/17/2011
2012-02-24,2/24/2012
2007-09-01,9/1/2007
2015-07-09,7/9/2015
2014-10-08,10/8/2014
2009-08-01,8/1/2009
2013-11-04,11/4/2013
1994-05-21,5/21/1994
1996-08-20,8/20/1996
2015-03-04,3/4/2015
1989-11-04,11/4/1989
2015-04-03,4/3/2015
1989-11-23,11/23/1989
2014-11-17,11/17/2014
2014-12-26,12/26/2014
1988-09-01,9/1/1988
2014-07-17,7/17/2014
2014-07-19,7/19/2014
2011-10-20,10/20/2011
2015-03-07,3/7/2015
2015-04-18,4/18/2015
2015-03-27,3/27/2015
2015-01-04,1/4/2015
2015-01-24,1/24/2015
2014-09-06,9/6/2014
2014-12-19,12/19/2014
2014-10-10,10/10/2014
2014-10-19,10/19/2014
2014-03-11,3/11/2014
1905-07-03,7/3/1905
1992-01-23,1/23/1992
2012-06-03,6/3/2012
2014-04-30,4/30/2014
2014-09-26,9/26/2014
2014-10-04,10/4/2014
2014-10-17,10/17/2014
2013-04-14,4/14/2013
2017-10-14,10/14/2017
2016-03-05,3/5/2016
2014-07-22,7/22/2014
2014-06-10,6/10/2014
2014-06-25,6/25/2014
2013-03-06,3/6/2013
2014-12-24,12/24/2014
1905-06-12,6/12/1905
2001-08-24,8/24/2001
2002-10-25,10/25/2002
1905-06-21,6/21/1905
1979-06-19,6/19/1979
1992-06-21,6/21/1992
1905-05-31,5/31/1905
2002-11-04,11/4/2002
2004-04-20,4/20/2004
2004-11-03,11/3/2004
2006-10-02,10/2/2006
2009-02-04,2/4/2009
2013-04-24,4/24/2013
1997-02-20,2/20/1997
1970-03-21,3/21/1970
1905-06-12,6/12/1905
2014-07-25,7/25/2014
2010-11-24,11/24/2010
2012-10-26,10/26/2012
2014-09-24,9/24/2014
2015-07-09,7/9/2015
1993-08-24,8/24/1993
2014-10-31,10/31/2014
2014-10-31,10/31/2014
2015-01-06,1/6/2015
2015-11-21,11/21/2015
2015-01-23,1/23/2015
1989-06-05,6/5/1989
2014-09-24,9/24/2014
2015-04-04,4/4/2015
2014-10-05,10/5/2014
2008-05-05,5/5/2008
2014-09-19,9/19/2014
2017-04-01,4/1/2017
2014-12-09,12/9/2014
2015-03-06,3/6/2015
2015-07-18,7/18/2015
2004-12-26,12/26/2004
1993-12-17,12/17/1993
2014-10-11,10/11/2014
2014-10-09,10/9/2014
2014-10-10,10/10/2014
2015-03-07,3/7/2015
2015-04-03,4/3/2015
2014-07-18,7/18/2014
2015-01-11,1/11/2015
1994-02-21,2/21/1994
2014-08-08,8/8/2014
2014-10-22,10/22/2014
2014-11-21,11/21/2014
2015-07-05,7/5/2015
2014-08-10,8/10/2014
2010-08-08,8/8/2010
2012-06-16,6/16/2012
2014-07-23,7/23/2014
2016-01-09,1/9/2016
2014-08-29,8/29/2014
1970-07-01,7/1/1970
2014-10-24,10/24/2014
2015-04-03,4/3/2015
2012-10-18,10/18/2012
2014-08-15,8/15/2014
2007-03-22,3/22/2007
1905-06-29,6/29/1905
1905-07-01,7/1/1905
1905-06-21,6/21/1905
1905-06-23,6/23/1905
1905-06-25,6/25/1905
1905-06-26,6/26/1905
1905-06-28,6/28/1905
1905-06-26,6/26/1905
1905-06-30,6/30/1905
1995-08-12,8/12/1995
2004-06-21,6/21/2004
2015-05-23,5/23/2015
2014-08-14,8/14/2014
2015-01-04,1/4/2015
2009-04-08,4/8/2009
2012-02-24,2/24/2012
1905-06-30,6/30/1905
1905-06-30,6/30/1905
1905-07-05,7/5/1905
1905-06-29,6/29/1905
2010-06-01,6/1/2010
2015-06-19,6/19/2015
1985-10-09,10/9/1985
1993-05-29,5/29/1993
1991-04-21,4/21/1991
2014-11-29,11/29/2014
2008-01-01,1/1/2008
2015-01-10,1/10/2015
2015-07-25,7/25/2015
2014-10-03,10/3/2014
2010-12-09,12/9/2010
2013-12-20,12/20/2013
1971-09-24,9/24/1971
2015-01-07,1/7/2015
1987-05-09,5/9/1987
1987-11-05,11/5/1987
1905-06-30,6/30/1905
1905-07-02,7/2/1905
1905-06-27,6/27/1905
1905-06-29,6/29/1905
1905-06-25,6/25/1905
1905-07-01,7/1/1905
1905-06-28,6/28/1905
1905-06-27,6/27/1905
1905-06-24,6/24/1905
1905-06-24,6/24/1905
1905-06-26,6/26/1905
1905-06-26,6/26/1905
2004-03-13,3/13/2004
1905-07-06,7/6/1905
1905-07-01,7/1/1905
2014-05-16,5/16/2014
2014-04-11,4/11/2014
1905-06-24,6/24/1905
1905-06-24,6/24/1905
1905-06-14,6/14/1905
1905-06-21,6/21/1905
1983-06-15,6/15/1983
1905-06-07,6/7/1905
1905-06-06,6/6/1905
1905-06-04,6/4/1905
1905-06-19,6/19/1905
1987-06-06,6/6/1987
1905-06-08,6/8/1905
2012-04-04,4/4/2012
2014-09-25,9/25/2014
2015-01-06,1/6/2015
2014-12-21,12/21/2014
1995-11-01,11/1/1995
2005-10-11,10/11/2005
1995-10-01,10/1/1995
2009-04-01,4/1/2009
2015-03-18,3/18/2015
1905-07-03,7/3/1905
1905-06-28,6/28/1905
1905-06-26,6/26/1905
1905-06-25,6/25/1905
1905-06-11,6/11/1905
1905-06-24,6/24/1905
1905-06-24,6/24/1905
1905-06-25,6/25/1905
1905-06-20,6/20/1905
1905-06-15,6/15/1905
1905-06-13,6/13/1905
1905-06-17,6/17/1905
1905-06-21,6/21/1905
2015-04-04,4/4/2015
1905-06-14,6/14/1905
1905-06-20,6/20/1905
1905-06-22,6/22/1905
1905-06-26,6/26/1905
1905-06-30,6/30/1905
1905-06-23,6/23/1905
1905-06-22,6/22/1905
1905-06-22,6/22/1905
1905-06-22,6/22/1905
1905-06-22,6/22/1905
1905-06-27,6/27/1905
1905-06-26,6/26/1905
1905-06-26,6/26/1905
1905-06-26,6/26/1905
1905-06-26,6/26/1905
1905-06-26,6/26/1905
1905-06-22,6/22/1905
1905-06-22,6/22/1905
1905-06-23,6/23/1905
1905-06-21,6/21/1905
1905-06-25,6/25/1905
1905-06-22,6/22/1905
1905-06-24,6/24/1905
1905-06-23,6/23/1905
1905-06-22,6/22/1905
1905-06-23,6/23/1905
1905-06-11,6/11/1905
1905-06-17,6/17/1905
1905-06-20,6/20/1905
1905-06-19,6/19/1905
1905-06-23,6/23/1905
1905-06-22,6/22/1905
1905-05-29,5/29/1905
1905-06-20,6/20/1905
1905-06-25,6/25/1905
1905-06-25,6/25/1905
1905-06-23,6/23/1905
1905-06-22,6/22/1905
1905-06-13,6/13/1905
1905-06-28,6/28/1905
1905-06-20,6/20/1905
1905-06-28,6/28/1905
1905-06-27,6/27/1905
1905-06-27,6/27/1905
1905-06-21,6/21/1905
1905-07-02,7/2/1905
1905-06-22,6/22/1905
1905-06-22,6/22/1905
1905-06-15,6/15/1905
2008-03-30,3/30/2008
2014-10-03,10/3/2014
2015-04-04,4/4/2015
2014-12-10,12/10/2014
2015-04-07,4/7/2015
2015-01-11,1/11/2015
2015-04-09,4/9/2015
1905-06-04,6/4/1905
2014-08-31,8/31/2014
2014-09-28,9/28/2014
2014-11-28,11/28/2014
1990-04-02,4/2/1990
1997-07-26,7/26/1997
1995-04-26,4/26/1995
1969-03-18,3/18/1969
1967-03-19,3/19/1967
1966-12-31,12/31/1966
2016-08-01,8/1/2016
2006-12-08,12/8/2006
1997-04-09,4/9/1997
2014-11-15,11/15/2014
2007-10-26,10/26/2007
2015-06-20,6/20/2015
2014-11-28,11/28/2014
2015-02-26,2/26/2015
2014-12-17,12/17/2014
1905-07-01,7/1/1905
2015-04-05,4/5/2015
2005-12-03,12/3/2005
1905-06-28,6/28/1905
2009-05-04,5/4/2009
2012-02-29,2/29/2012
2014-02-24,2/24/2014
1905-07-05,7/5/1905
2013-01-23,1/23/2013
2013-03-07,3/7/2013
1905-07-04,7/4/1905
2003-07-12,7/12/2003
2003-11-05,11/5/2003
2001-07-14,7/14/2001
2000-02-21,2/21/2000
1999-07-24,7/24/1999
2014-09-27,9/27/2014
2014-09-10,9/10/2014
2014-10-07,10/7/2014
2014-10-19,10/19/2014
2015-07-25,7/25/2015
2014-10-25,10/25/2014
2002-04-01,4/1/2002
2004-08-19,8/19/2004
1993-07-23,7/23/1993
1994-06-11,6/11/1994
1996-07-25,7/25/1996
2010-07-10,7/10/2010
1995-12-25,12/25/1995
1905-04-08,4/8/1905
1942-07-16,7/16/1942
1949-12-01,12/1/1949
1993-05-29,5/29/1993
2011-04-07,4/7/2011
2014-09-17,9/17/2014
2014-12-19,12/19/2014
2014-08-27,8/27/2014
2014-04-18,4/18/2014
2013-04-28,4/28/2013
2015-01-03,1/3/2015
2015-07-12,7/12/2015
2014-09-24,9/24/2014
2001-07-04,7/4/2001
2015-04-18,4/18/2015
2015-01-11,1/11/2015
2015-04-05,4/5/2015
2004-05-28,5/28/2004
1992-04-07,4/7/1992
2012-07-07,7/7/2012
2014-10-06,10/6/2014
1986-10-03,10/3/1986
2015-07-25,7/25/2015
2001-10-13,10/13/2001
2002-10-05,10/5/2002
2015-01-07,1/7/2015
2015-04-01,4/1/2015
2015-01-10,1/10/2015
2014-11-07,11/7/2014
2013-08-26,8/26/2013
2015-04-05,4/5/2015
2018-03-23,3/23/2018
2015-01-05,1/5/2015
2015-04-10,4/10/2015
2014-10-01,10/1/2014
2014-09-30,9/30/2014
2006-12-16,12/16/2006
2014-10-26,10/26/2014
2014-10-05,10/5/2014
2014-07-31,7/31/2014
2015-10-03,10/3/2015
2015-07-04,7/4/2015
2016-01-09,1/9/2016
1988-09-23,9/23/1988
1905-06-13,6/13/1905
1998-09-11,9/11/1998
1992-04-24,4/24/1992
1998-03-13,3/13/1998
1998-07-10,7/10/1998
1997-07-21,7/21/1997
1995-12-08,12/8/1995
1905-06-24,6/24/1905
2006-12-08,12/8/2006
2014-10-10,10/10/2014
2014-12-19,12/19/2014
2014-12-12,12/12/2014
2014-10-24,10/24/2014
2014-10-11,10/11/2014
2015-01-09,1/9/2015
2014-03-26,3/26/2014
2014-11-28,11/28/2014
2015-02-13,2/13/2015
1980-04-02,4/2/1980
1905-06-23,6/23/1905
2015-04-10,4/10/2015
2003-01-01,1/1/2003
2014-10-10,10/10/2014
2014-12-24,12/24/2014
2015-10-02,10/2/2015
2013-10-01,10/1/2013
2014-10-23,10/23/2014
2014-10-15,10/15/2014
1905-06-10,6/10/1905
1999-10-11,10/11/1999
1992-04-17,4/17/1992
2015-03-26,3/26/2015
2015-02-20,2/20/2015
2015-04-08,4/8/2015
2015-10-03,10/3/2015
1964-01-01,1/1/1964
2014-12-28,12/28/2014
2016-04-03,4/3/2016
1905-06-11,6/11/1905
1987-08-06,8/6/1987
1989-07-25,7/25/1989
1971-09-01,9/1/1971
2014-12-31,12/31/2014
1949-09-01,9/1/1949
2026-10-06,10/6/2026
2029-03-12,3/12/2029
1905-04-14,4/14/1905
1933-11-17,11/17/1933
1933-02-28,2/28/1933
1905-04-29,4/29/1905
1905-04-30,4/30/1905
1905-05-05,5/5/1905
2014-10-22,10/22/2014
1905-04-25,4/25/1905
2015-05-15,5/15/2015
1999-11-02,11/2/1999
1984-07-08,7/8/1984
2014-10-22,10/22/2014
2014-02-08,2/8/2014
1905-06-28,6/28/1905
1984-04-03,4/3/1984
2003-03-13,3/13/2003
2014-09-08,9/8/2014
1992-07-23,7/23/1992
1992-08-08,8/8/1992
1990-06-03,6/3/1990
2008-07-12,7/12/2008
2015-02-25,2/25/2015
1998-10-01,10/1/1998
1905-06-21,6/21/1905
1992-01-03,1/3/1992
1994-12-22,12/22/1994
2000-05-01,5/1/2000
1999-01-01,1/1/1999
2015-04-04,4/4/2015
1940-05-16,5/16/1940
1968-10-21,10/21/1968
2014-11-07,11/7/2014
2014-10-21,10/21/2014
2015-01-11,1/11/2015
2014-12-05,12/5/2014
2015-01-30,1/30/2015
2015-04-04,4/4/2015
2014-05-25,5/25/2014
2014-11-29,11/29/2014
1905-06-02,6/2/1905
1997-11-03,11/3/1997
2014-10-30,10/30/2014
2015-01-08,1/8/2015
2015-11-13,11/13/2015
2015-04-11,4/11/2015
2015-04-09,4/9/2015
2015-01-10,1/10/2015
2014-05-28,5/28/2014
2008-06-20,6/20/2008
2008-09-26,9/26/2008
1905-04-23,4/23/1905
1905-04-24,4/24/1905
2015-01-08,1/8/2015
2015-04-05,4/5/2015
2014-02-20,2/20/2014
2015-12-19,12/19/2015
1996-08-21,8/21/1996
2015-01-12,1/12/2015
2015-03-25,3/25/2015
2015-03-13,3/13/2015
2015-04-09,4/9/2015
2015-04-24,4/24/2015
1905-06-06,6/6/1905
2015-01-30,1/30/2015
2014-12-26,12/26/2014
2015-02-20,2/20/2015
2005-12-31,12/31/2005
2011-12-14,12/14/2011
2014-06-10,6/10/2014
1905-06-15,6/15/1905
1986-06-03,6/3/1986
2014-09-03,9/3/2014
1992-01-01,1/1/1992
1981-10-07,10/7/1981
1982-01-02,1/2/1982
2014-11-01,11/1/2014
2014-10-22,10/22/2014
2010-03-03,3/3/2010
2015-07-03,7/3/2015
2016-01-12,1/12/2016
2015-01-06,1/6/2015
2014-11-09,11/9/2014
1905-04-20,4/20/1905
2015-04-04,4/4/2015
2013-12-19,12/19/2013
2014-11-16,11/16/2014
2014-11-16,11/16/2014
2014-10-09,10/9/2014
2014-11-18,11/18/2014
2015-04-18,4/18/2015
1905-06-29,6/29/1905
1905-06-18,6/18/1905
1905-06-18,6/18/1905
2009-02-13,2/13/2009
2015-03-06,3/6/2015
2015-07-05,7/5/2015
2015-03-14,3/14/2015
2015-01-02,1/2/2015
2015-01-02,1/2/2015
2014-10-10,10/10/2014
2015-10-10,10/10/2015
2016-05-21,5/21/2016
1905-07-06,7/6/1905
2014-07-14,7/14/2014
2014-07-14,7/14/2014
1905-07-04,7/4/1905
1905-07-04,7/4/1905
1905-07-05,7/5/1905
1905-07-02,7/2/1905
1905-07-03,7/3/1905
1905-07-04,7/4/1905
2009-06-25,6/25/2009
2007-12-01,12/1/2007
1905-06-28,6/28/1905
1905-06-25,6/25/1905
1997-09-01,9/1/1997
1905-06-27,6/27/1905
1905-06-18,6/18/1905
1905-06-17,6/17/1905
1905-06-18,6/18/1905
1905-06-23,6/23/1905
1905-07-04,7/4/1905
1905-07-02,7/2/1905
2011-01-22,1/22/2011
2014-01-31,1/31/2014
2014-04-05,4/5/2014
2006-10-27,10/27/2006
2015-07-03,7/3/2015
1905-06-20,6/20/1905
2015-04-10,4/10/2015
2015-07-03,7/3/2015
2015-10-09,10/9/2015
2016-04-08,4/8/2016
2015-10-02,10/2/2015
2014-11-14,11/14/2014
1905-07-03,7/3/1905
1905-07-04,7/4/1905
1905-07-04,7/4/1905
1905-07-02,7/2/1905
1905-06-28,6/28/1905
1905-07-04,7/4/1905
1905-06-28,6/28/1905
1905-07-04,7/4/1905
2014-11-24,11/24/2014
2015-02-01,2/1/2015
2014-11-28,11/28/2014
2015-04-25,4/25/2015
2015-04-12,4/12/2015
2007-03-03,3/3/2007
2005-06-03,6/3/2005
1905-07-06,7/6/1905
1905-04-07,4/7/1905
1905-04-09,4/9/1905
1905-05-04,5/4/1905
1931-02-10,2/10/1931
2015-04-05,4/5/2015
2015-08-26,8/26/2015
1905-06-21,6/21/1905
2014-12-02,12/2/2014
2014-11-24,11/24/2014
2015-09-19,9/19/2015
2002-09-01,9/1/2002
2016-01-09,1/9/2016
2013-04-02,4/2/2013
2015-08-07,8/7/2015
1905-07-03,7/3/1905
2014-06-08,6/8/2014
1905-07-06,7/6/1905
2016-04-23,4/23/2016
2014-12-05,12/5/2014
2015-02-20,2/20/2015
2014-12-08,12/8/2014
2015-04-04,4/4/2015
2015-07-11,7/11/2015
2013-12-25,12/25/2013
2011-12-17,12/17/2011
2008-04-23,4/23/2008
2008-01-01,1/1/2008
2015-04-07,4/7/2015
2015-07-02,7/2/2015
2015-07-09,7/9/2015
1905-04-24,4/24/1905
1905-05-07,5/7/1905
1905-07-05,7/5/1905
2017-01-08,1/8/2017
2015-04-05,4/5/2015
2015-09-25,9/25/2015
1905-06-27,6/27/1905
2016-09-17,9/17/2016
2015-07-18,7/18/2015
2015-02-27,2/27/2015
2015-04-07,4/7/2015
2015-04-06,4/6/2015
2015-05-23,5/23/2015
2015-10-06,10/6/2015
2014-10-08,10/8/2014
2014-12-03,12/3/2014
2015-10-04,10/4/2015
1990-08-01,8/1/1990
2015-07-04,7/4/2015
2008-06-04,6/4/2008
2009-12-23,12/23/2009
2012-09-26,9/26/2012
2015-03-22,3/22/2015
2014-12-19,12/19/2014
2015-10-10,10/10/2015
2015-04-04,4/4/2015
1905-07-03,7/3/1905
1905-07-02,7/2/1905
1905-07-04,7/4/1905
2015-05-16,5/16/2015
1905-07-04,7/4/1905
2014-12-26,12/26/2014
2015-03-22,3/22/2015
1994-01-14,1/14/1994
2015-04-08,4/8/2015
2015-07-07,7/7/2015
2015-04-05,4/5/2015
1984-03-04,3/4/1984
1905-07-05,7/5/1905
2014-08-25,8/25/2014
1905-07-04,7/4/1905
1905-06-30,6/30/1905
2015-07-05,7/5/2015
2009-07-04,7/4/2009
2015-07-03,7/3/2015
2015-06-22,6/22/2015
2015-05-20,5/20/2015
1980-02-07,2/7/1980
2015-04-03,4/3/2015
2014-12-11,12/11/2014
2015-03-27,3/27/2015
2015-03-27,3/27/2015
2014-06-27,6/27/2014
2014-12-13,12/13/2014
2015-04-12,4/12/2015
2015-04-19,4/19/2015
2015-01-05,1/5/2015
2014-12-25,12/25/2014
1988-02-08,2/8/1988
1999-12-01,12/1/1999
1987-08-03,8/3/1987
1905-06-23,6/23/1905
2012-11-02,11/2/2012
2014-12-28,12/28/2014
2014-12-10,12/10/2014
2014-09-01,9/1/2014
2013-12-18,12/18/2013
2011-10-19,10/19/2011
2015-07-07,7/7/2015
2014-12-25,12/25/2014
2014-12-29,12/29/2014
1984-06-19,6/19/1984
1980-10-01,10/1/1980
1983-02-01,2/1/1983
1983-04-29,4/29/1983
1905-06-14,6/14/1905
2015-01-04,1/4/2015
2006-08-25,8/25/2006
1985-03-16,3/16/1985
1984-03-17,3/17/1984
1994-03-21,3/21/1994
1995-06-21,6/21/1995
2013-11-14,11/14/2013
2015-06-26,6/26/2015
1992-09-21,9/21/1992
1992-11-21,11/21/1992
1993-03-10,3/10/1993
1993-06-21,6/21/1993
1989-04-26,4/26/1989
1905-06-21,6/21/1905
2010-06-16,6/16/2010
1905-05-17,5/17/1905
2016-03-09,3/9/2016
1988-04-30,4/30/1988
1905-07-06,7/6/1905
2015-01-09,1/9/2015
2014-12-31,12/31/2014
2015-04-05,4/5/2015
2015-01-07,1/7/2015
1905-07-04,7/4/1905
1997-12-15,12/15/1997
1905-06-26,6/26/1905
2005-12-01,12/1/2005
1905-06-28,6/28/1905
1991-11-01,11/1/1991
2015-01-03,1/3/2015
2001-05-01,5/1/2001
1905-06-27,6/27/1905
1996-06-10,6/10/1996
1998-08-02,8/2/1998
2002-05-24,5/24/2002
2001-04-02,4/2/2001
1995-04-04,4/4/1995
1905-06-12,6/12/1905
1905-06-14,6/14/1905
1905-06-16,6/16/1905
1905-06-20,6/20/1905
2004-06-21,6/21/2004
2005-07-04,7/4/2005
2007-04-02,4/2/2007
2000-12-01,12/1/2000
2006-04-30,4/30/2006
2010-03-10,3/10/2010
2011-03-31,3/31/2011
2007-05-21,5/21/2007
2008-02-18,2/18/2008
2009-08-19,8/19/2009
1905-05-21,5/21/1905
1905-05-24,5/24/1905
2015-01-11,1/11/2015
2014-12-31,12/31/2014
2013-02-15,2/15/2013
2011-11-07,11/7/2011
2011-01-10,1/10/2011
2010-03-26,3/26/2010
2010-03-22,3/22/2010
2009-12-21,12/21/2009
2009-10-19,10/19/2009
2011-03-07,3/7/2011
2015-01-03,1/3/2015
1998-03-30,3/30/1998
1983-12-01,12/1/1983
1905-06-10,6/10/1905
1984-06-02,6/2/1984
1990-06-03,6/3/1990
1905-05-29,5/29/1905
1995-05-05,5/5/1995
1994-04-04,4/4/1994
1994-04-07,4/7/1994
1995-04-10,4/10/1995
2009-03-23,3/23/2009
2012-04-30,4/30/2012
2011-06-17,6/17/2011
2008-06-30,6/30/2008
2006-08-17,8/17/2006
2005-11-04,11/4/2005
1998-05-07,5/7/1998
1995-06-09,6/9/1995
2012-03-17,3/17/2012
1995-08-01,8/1/1995
1994-12-06,12/6/1994
1996-05-13,5/13/1996
1998-08-24,8/24/1998
2012-01-03,1/3/2012
2006-02-15,2/15/2006
1995-01-10,1/10/1995
1998-12-07,12/7/1998
2015-03-22,3/22/2015
2015-03-22,3/22/2015
2015-03-22,3/22/2015
2015-03-22,3/22/2015
1905-05-29,5/29/1905
1905-05-31,5/31/1905
1998-10-21,10/21/1998
1993-11-01,11/1/1993
1998-10-21,10/21/1998
1905-06-20,6/20/1905
1992-11-01,11/1/1992
1989-12-06,12/6/1989
1992-11-01,11/1/1992
2004-01-01,1/1/2004
1905-04-08,4/8/1905
1905-04-08,4/8/1905
1905-04-11,4/11/1905
1905-04-14,4/14/1905
2015-03-27,3/27/2015
2015-03-27,3/27/2015
2014-12-25,12/25/2014
1905-05-24,5/24/1905
1905-05-23,5/23/1905
2015-04-04,4/4/2015
1905-05-20,5/20/1905
2013-01-01,1/1/2013
1905-07-05,7/5/1905
2010-03-31,3/31/2010
2004-03-06,3/6/2004
1983-03-12,3/12/1983
1905-05-26,5/26/1905
1905-05-24,5/24/1905
1905-05-24,5/24/1905
1905-05-09,5/9/1905
1905-05-30,5/30/1905
1905-05-16,5/16/1905
1905-05-16,5/16/1905
1905-05-18,5/18/1905
2016-12-30,12/30/2016
1905-05-16,5/16/1905
1905-05-17,5/17/1905
1905-05-19,5/19/1905
1905-05-14,5/14/1905
1905-05-16,5/16/1905
1905-05-17,5/17/1905
1905-05-28,5/28/1905
1905-05-30,5/30/1905
1905-05-20,5/20/1905
1905-05-22,5/22/1905
1905-05-24,5/24/1905
1905-05-29,5/29/1905
1905-05-23,5/23/1905
1905-05-24,5/24/1905
1905-05-20,5/20/1905
1905-05-24,5/24/1905
1905-05-28,5/28/1905
2015-04-05,4/5/2015
2009-12-22,12/22/2009
1905-05-21,5/21/1905
2015-04-24,4/24/2015
2015-05-01,5/1/2015
2015-01-19,1/19/2015
1905-06-25,6/25/1905
1905-06-20,6/20/1905
1905-06-20,6/20/1905
1905-06-24,6/24/1905
1905-06-21,6/21/1905
1905-06-19,6/19/1905
2015-05-17,5/17/2015
1982-04-05,4/5/1982
1905-06-01,6/1/1905
1905-06-28,6/28/1905
2015-04-12,4/12/2015
1905-07-05,7/5/1905
2012-11-30,11/30/2012
2015-03-06,3/6/2015
2014-11-06,11/6/2014
2005-03-25,3/25/2005
2014-04-29,4/29/2014
1905-06-30,6/30/1905
2004-04-04,4/4/2004
1905-06-27,6/27/1905
1905-06-27,6/27/1905
1905-06-27,6/27/1905
1905-06-29,6/29/1905
2007-03-22,3/22/2007
2008-04-06,4/6/2008
2009-03-30,3/30/2009
2010-01-20,1/20/2010
1905-06-30,6/30/1905
2007-08-24,8/24/2007
2008-04-03,4/3/2008
2013-09-30,9/30/2013
2015-07-03,7/3/2015
2015-07-04,7/4/2015
2011-02-27,2/27/2011
2016-07-05,7/5/2016
2014-04-07,4/7/2014
1905-07-01,7/1/1905
1905-07-01,7/1/1905
1905-07-02,7/2/1905
1905-06-25,6/25/1905
1905-06-25,6/25/1905
2013-09-25,9/25/2013
1905-06-28,6/28/1905
1905-06-29,6/29/1905
1968-10-12,10/12/1968
2014-12-19,12/19/2014
1905-06-27,6/27/1905
1943-11-26,11/26/1943
2015-07-07,7/7/2015
2015-07-04,7/4/2015
2015-10-10,10/10/2015
1905-05-29,5/29/1905
1905-05-27,5/27/1905
1905-05-29,5/29/1905
1905-06-01,6/1/1905
1905-06-02,6/2/1905
1905-05-31,5/31/1905
1905-05-29,5/29/1905
1905-05-26,5/26/1905
1905-05-28,5/28/1905
2014-02-27,2/27/2014
2015-07-07,7/7/2015
2015-04-24,4/24/2015
2015-04-24,4/24/2015
2015-05-22,5/22/2015
1958-04-05,4/5/1958
1905-05-25,5/25/1905
2014-11-16,11/16/2014
2014-01-28,1/28/2014
2014-04-14,4/14/2014
2014-07-31,7/31/2014
2015-02-05,2/5/2015
2015-08-29,8/29/2015
2015-11-28,11/28/2015
2016-04-02,4/2/2016
2014-05-10,5/10/2014
1905-05-25,5/25/1905
2011-08-16,8/16/2011
2012-03-20,3/20/2012
2004-10-02,10/2/2004
2009-01-21,1/21/2009
2005-04-29,4/29/2005
2005-01-07,1/7/2005
1905-07-06,7/6/1905
2015-03-31,3/31/2015
2011-10-28,10/28/2011
2013-11-07,11/7/2013
2015-02-27,2/27/2015
2013-09-25,9/25/2013
2015-07-03,7/3/2015
2015-07-18,7/18/2015
2002-10-02,10/2/2002
1905-07-04,7/4/1905
1905-07-06,7/6/1905
2014-07-01,7/1/2014
2014-11-01,11/1/2014
2015-06-06,6/6/2015
2015-04-07,4/7/2015
1905-06-02,6/2/1905
2015-10-31,10/31/2015
